,name,ASIN,Best Sellers Rank,Best_Sellers_Rank_fields,Manufacturer,Product Dimensions (inches),Item Weight (pounds),Date First Available,Is Discontinued By Manufacturer,Item model number,Batteries,Colour
17,"Rugged Smartphone Unlocked OUKITEL WP5(2020) Android 10 Cell Phone 8000mAh Battery 4GB+32GB Triple Camera 4 LED Flashlights IP68 Waterproof Phones 5.5 Inch Dual Sim GSM 4G, GPS, Bluetooth, WiFi",B0871HGVXS,8919.0,Cell Phones & Accessories ,OUKITEL,6.05 x 2.92 x 0.71,1.696,2020-04-12,,OUKITEL WP5,1 Lithium Polymer batteries required. (included),Orange
18,Samsung Galaxy A31-128GB / 4GB - A315G/DSL Unlocked Dual Sim Phone w/Quad Camera 48MP+8MP+5MP+5MP GSM International Version (Prism Crush Black),B087C9LDF7,7419.0,Cell Phones & Accessories ,Samsung,6 x 4 x 2,1.072,2020-04-20,No,A31,1 Lithium Polymer batteries required. (included),Prism Crush Black
19,Moto G Power | 3-Day Battery1 | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2020 | Black,B084D89DBF,137.0,Cell Phones & Accessories ,Motorola,6.29 x 2.99 x 0.38,1.12,2020-04-01,,XT2041-4,1 Lithium Polymer batteries required. (included),
20,Mobile Phone Screen Magnifier – Magnify Phone Screen with Bluetooth Speaker – Portable Screen Amplifier – Compatible with Android and iPhone Smartphones – 12-inch Screen with Foldable Stand,B085QK8WP1,1231.0,Cell Phones & Accessories ,dizaul,10.1 x 9 x 0.6,2.432,2019-08-21,No,SM-03,,Gray1
21,"Motorola Moto G8 Power Lite 64GB, 4GB RAM, 5000 mAh Battery, 6.5' HD+ LTE Factory Unlocked Smartphone - International Version (Blue)",B087YY3FFB,10324.0,Cell Phones & Accessories ,Motorola,2.98 x 0.36 x 6.49,1.136,2020-05-01,,XT2055-2,1 Lithium Polymer batteries required. (included),
22,"Unlocked Rugged Smartphones, Blackview BV5900 4G LTE Rugged Cell Phones with Android 10 IP68 Waterproof Drop Proof, 5.7"" Screen 3GB+32GB Dual SIM 5580mAh Battery for GSM AT&T T-Mobile, Black",B07XRK35M7,15500.0,Cell Phones & Accessories ,Blackview,15.99 x 8.99 x 1,0.00368,2019-09-10,,Blackview BV5900,1 Lithium Polymer batteries required. (included),Black
23,6.5 inch Android 10 Unlocked Smartphone with 6GB RAM+64GB ROM 256GB Extension Dual SIM Face Recognition Smartphones 4500mAh HD Camera Mobile Phone (Green),B08L9B6QXR,49066.0,Cell Phones & Accessories ,DUODUOGO,7.64 x 6.54 x 1.93,1.21,2020-10-16,,,,Green
24,"Ulefone Armor 7E Rugged Smartphone Unlocked, IP68 Waterproof Cell Phones Helio P90 Android 10 4GB + 128GB, 48MP+2MP+2MP Triple Camera, 5500mAh Battery QI Wireless Charge, 6.3"" FHD+, Global Bands, NFC",B087M26N2K,48547.0,Cell Phones & Accessories ,Ulefone,6.53 x 3.19 x 0.53,1.632,2020-05-01,,Armor 7E,1 Lithium Polymer batteries required. (included),Armor 7E
25,"Rugged Smartphone Unlocked, Ulefone Armor 8 4GB + 64GB Android 10, 16MP Triple Waterproof Camera, IP68/IP69K Durable, 6.1 inch HD+, 4G Dual SIM, 5580mAh Battery, NFC, OTG, Fingerprint Face ID, Black",B08DFYDDK1,46066.0,Cell Phones & Accessories ,Ulefone,6.54 x 3.22 x 0.59,1.584,2020-07-22,,,,Black
26,"Blackview BV6300Pro (2020) Android 10 Rugged Cell Phones, 16MP HDR Quad Rear Cameras, 6GB+128GB IP68/69K Smartphone, 4380mAh Battery Wireless Charge 11.6mm Slim Body 4G - Yellow",B08G4RXPFV,62140.0,Cell Phones & Accessories ,Blackview,7.6 x 7.6 x 1.4,1.15,2020-08-18,,BV6300Pro,1 Lithium Polymer batteries required. (included),Yellow
27,"Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Dual SIM 6.5''HD+ Snapdragon 450, Factory Unlocked (International Version) - (Red)",B07ZDH95L4,3422.0,Cell Phones & Accessories ,Samsung,6.43 x 3.05 x 0.31,1.92,2019-10-21,No,A207M,1 Lithium ion batteries required. (included),Red
28,"Unlocked Cell Phones 5G WiFi 8 Core, Global 4G LTE, Unlocked Smartphone 6.5"" FHD Full Screen 2K, 6GB RAM+64GB ROM Android 10 Cell Phone, 16MP, Fingerprint Face Detection GPS, International Version",B08KP3XBJX,57290.0,Cell Phones & Accessories ,AOYODKG,7.44 x 4.06 x 1.97,1.4880000000000002,2020-10-04,,NOTES 9S,1 Lithium ion batteries required.,Black
29,"WP7 Rugged Smartphone, Night Vision Camera 8GB + 128GB Helio P90 Waterproof Unlocked Android Cell Phone 6.53 inches FHD+ Global 4G LTE Dual SIM, IP68/IP69K Triple Cameras NFC AI Cellphone (Orange)",B08F9KRBV7,29632.0,Cell Phones & Accessories ,OUKITEL,9.69 x 9.65 x 1.81,1.46,2020-08-05,,,,Dark black
30,"OUKITEL WP8 Pro Unlocked Rugged Smartphone, Android 10 4GB RAM + 64GB ROM MT6762D Cellphone, IP68 5000mAh 6.49 inch Dual SIM 16MP Rear Triple Camera NFC Global Version Mobile Phone (Black)",B08PFGPGRM,20585.0,Cell Phones & Accessories ,OUKITEL direct store,9.53 x 8.66 x 1.81,1.24,2020-12-02,,,,Black
31,"4G Rugged Phones, 2020 Ulefone Armor X7 Android 10 Dual SIM, Rugged Smartphone Unlocked, IP68/69K Waterproof Smartphone, 13MP + 5MP Cameras, 2GB + 16GB, NFC, OTG, Face Unlock, Finger Reader - Black",B085VDSDPL,18867.0,Cell Phones & Accessories ,Ulefone,5.91 x 3.11 x 0.57,1.264,2020-03-12,,,,Armor X7 Black
32,"Samsung Galaxy S10, 128GB, Prism Black - For Verizon (Renewed)",B07STDZ366,2670.0,Cell Phones & Accessories ,Samsung,7 x 5 x 4,0.055999999999999994,2019-06-06,,Galaxy S10,1 Lithium ion batteries required. (included),Prism Black
33,"Unlocked Rugged Smartphone, OUKITEL WP8 Pro 6.49 inch Android 10 Cellphone 5000mAh Battery 4GB RAM + 64GB ROM 4G Dual SIM 16MP Rear Triple Camera NFC Global Version",B08M3GV9BZ,16950.0,Cell Phones & Accessories ,OUKITEL,9.92 x 8.74 x 1.85,1.23,2020-10-28,,WP8 Pro,1 Lithium ion batteries required. (included),BLACK
34,"CM Vintage Retro Telephone Handset Cell Phone Receiver MIC Microphone for Cellphone Smartphone, 3.5 mm Socket (Black)",B07MKK92B4,1130.0,Audio Headphones,CM,9.3 x 2.7 x 2.5,0.96,2018-12-26,No,,,
35,"Rode SmartLav+ Omnidirectional Lavalier Microphone for iPhone and Smartphones, Black",B00EO4A7L0,8.0,Professional Video Microphones,,5 x 1 x 3,0.03392,2014-06-25,No,SMARTLAVPLUS,,
36,"Adjustable Cell Phone Stand - Lamicall Phone Desk Holder, Cradle, Dock, Mobile Smartphone Stand, Compatible with Phone 12 Mini 11 Pro Xs Max XR X 8 7 6 Plus SE Charging, Desktop Accessories - Black",B084V4VKB6,1021.0,Cell Phones & Accessories ,Lamicall,4.41 x 3.39 x 3.15,0.5984,2020-06-12,,A-EU-B,,Black
37,"Xiaomi Redmi Note 8 6.3"" 64GB 4GB RAM (GSM Only, No CDMA) Internationa Version - No Warranty (Neptune Blue)",B07YZLRBFP,9089.0,Cell Phones & Accessories ,Xiaomi,7 x 3 x 2.5,2.528,2019-09-30,,M1908C3JG,1 Lithium Polymer batteries required. (included),Neptune Blue
38,"OnePlus 7T 6.55"" HD1907 Single Sim GSM Unlocked Smartphone (Renewed) (Frosted Silver, 128GB)",B08C27KCTC,64907.0,Cell Phones & Accessories ,OnePlus,6.26 x 3.11 x 0.39,0.1024,2020-06-29,,7T 128GB + 8GB RAM HD1907,1 Lithium ion batteries required. (included),Frosted Silver
39,MIOPS Smart Standalone and Smartphone Controllable Camera and Flash Trigger for High Speed Photography with C1 Cable for Canon 3-Pin Cameras,B0143ENSRK,80.0,Camera Shutter Release Cords,Miops,3.94 x 0.2 x 0.2,1.024,2015-09-24,No,CABLE-C1,1 Lithium ion batteries required.,
40,Celestron – Ultima 65 Angled Spotting Scope with Smartphone Adapter – 18 to 55x65mm Zoom Eyepiece – Multi-Coated Optics for Bird Watching,B07RFDD3FC,24088.0,Sports & Outdoors ,Celestron,15.3 x 3.5 x 5.1,2.2,2019-04-16,,52348,,
41,OUKITEL C21 Unlocked Smartphones 64GB+4GB 6.4”FHD+ Cellphones Unlock Helio P60 20MP Front Camera 4 Rear Cameras 4000mAh Battery Mobile Phone 4G Dual SIM Face ID&Fingerprint Black,B08JG8JN5S,28859.0,Cell Phones & Accessories ,OUKITEL,7.5 x 4.4 x 2.5,2.3040000000000003,2020-09-18,,,1 Lithium ion batteries required. (included),Black
