name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"2.4G Ultra-Thin Folding Mouse Wireless Mouse with Nano Receiver, Lower Noise, Portable Mobile Optical Mouse Suitable for Notebook, Computer, Laptop（Black）",B08FMSZQKX,,1120,Computer,5 x 2.2 x 0.63,0.2816,2020-08-11,,,,,,,,,,,,,,,,,,,
"Kotoyas Persian Style Carpet Mouse Pad, Several Images (Oriental Green)",B01H3PV21K,Kotoyas,17061,Office,10 x 7 x 0.1,0.512,2016-06-15,No,bb-3,,,,,,,,,,,,Oriental Green,,,,,
"Extended Gaming Mouse Pad 31.5×11.8×0.12 inches with Stitched Edge Premium-Textured Non-Slip Rubber Base Mouse Mat Mousepad for Office & Home, Black (1 Pack)",B0855ZL325,TNY,19191,Office,12.68 x 3.19 x 2.95 ,1.06,2020-02-26,,MP-004,,,,,,,,,,,,1 Pack,,,,,
Wireless Mouse 2.4G Jelly Comb Bluetooth Mouse with USB Receiver Ultra Thin Computer Mouse with 3 Adjustable DPI 1000/1600/2400 Metal Mouse -Black and Sliver,B081SNTFWY,,2039,Computer,4.75 x 3 x 3 ,1.92,2019-11-25,,,,,,,,,,,,,,,,,,,
"EHO Under-Desk Mouse Platform/Clip on Mouse Pad Rotating 360 Degree, Ergonomic Mouse Tray Attachment, Office Mouse Pad, Slide Out Mouse Tray (Black), Suitable for 1.5"" (3.81 cm) Thickness Desk",B07QH7NNVF,EHO,21729,Office,12 x 8.35 x 2.52 ,2.56,2019-04-10,,EH-03704,,,,,,,,,,,,Black,,,,,
RGB Gaming Keyboard and Mouse Combo CHONCHOW 991b Rainbow Led Backlit 7 Colors Office Device Ergonomic Keyboard with Mice 3200 DPI Adjustable Compatible with PS4 Xbox one Windows Mac PC,B07Y8HLTQ2,,1327,Video,17.5 x 5.3 x 1.25,1.8,2019-09-23,,991,,,,,,,,,,,,,,,,,
One Punch Man Mouse Pad Saitama 12x10 Inches Office Gaming Funny Anime Cartoon Mousepad,B083JMRDN2,Tina Art,29543,Office,11.7 x 9.6 x 0.3 ,0.512,2019-02-19,,,,,,,,,,,,,,Saitama,,,,,
"Ergonomic Mouse Pad with Wrist Support, Non Slip Mousepad with Lycra Cloth, Non-Slip PU Base Easy Typing Mouse Mat for Office, Computer, Laptop & Mac (Cute Elephant-Wrist)",B07XJFJRR1,LESHIRY,24428,Office,8.75 x 7.5 x 0.7,0.848,2019-09-16,No,,,,,,,,,,,,,Cute Elephant-wrist,,,,,
"Artiron Mouse Pad, Rectangle Customized Gaming Mouse Mat Non-Slip Cute Mouse Pads with Funny Art Design for Computers Laptop, Ideal Partner for Working or Game 7.9x9.5inch (Pink Rose)",B08M391M45,Artiron,13361,Office,9 x 7 x 0.1 ,0.512,2020-10-28,,,,,,,,,,,,,,Pink Rose,,,,,
Fashion Mouse Mat USA America Flag Customized Rectangle Mousepad by Mouse Pads,B00Q4K5PL4,Mouse Pads,15844,Office,11.5 x 1.1 x 5.8,0.2304,2014-11-25,Yes,NMCWAS,,,,,,,,,,,,,,,,,
"Wireless Mouse 2.4G Slim Cordless Mouse Portable Mobile Optical Mouse with USB Receiver 3 Adjustable DPI Levels Wireless Computer Mice for Notebook, PC, Laptop, Computer, MacBook",B089WHP9XK,,464,Computer,4.57 x 2.8 x 1.73 ,0.672,2020-06-09,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"Baby Yo-da Mouse Pad Gaming Non-Slip Rubber Mousepad, Working or Game 8.6 x 7inch Mouse Mat",B08RSDK3TV,BASVO,44375,Office,2 x 2 x 0.1 ,0.256,2020-12-31,,,,,,,,,,,,,,Baby Yo-da,,,,,
Mouse Pad 9.8x11.8 in Waterproof Mouse Pad Rectangle Non-Slip Rubber Mouse Pad Gaming Mouse Pad.,B086DL595C,,81702,Office,11.81 x 10.39 x 0.28 ,0.672,,,,,,,,,,,,,,,,,,,,
"BKLNOG Sports Car Mouse [Updated] with LED Headlights, 1600 DPI Wireless Car Shaped Mouse for Mac & Computers, Blue",B08HVV2R74,,1327,Computer,4.65 x 2.68 x 1.57 ,0.512,2020-09-11,,H123-BE,,,,,,,,,,,,,,,,,
"Pretty Purple Pink Summer Floral Round Mouse Pad for Women,Office Mouse Pad,Mouse Pad for Girls",B08BCSRX1B,,23529,Office,8.62 x 7.76 x 0.24 ,0.33280000000000004,2020-07-10,,,,,,,,,,,,,,,,,,,
"Gaming Mouse Pad, Game Computer Mousepad for Laptop and Desktop, Cute Funny Mouse Mat for Kid and Fans Gift",B08KFXVQLT,Kxanyy,21908,Office,9.8 x 8 x 0.1,0.424,2020-09-30,,A031W,,,,,,,,,,,,A31,,,,,
"Demon Slayer Zenitsu Agatsuma Anime Mouse Pad Large Gaming Mousepad Extended Desk Mat 29.5""x15.7"" Long Non-Slip Rubber Desk Pad for Gamer Office Home",B08CBF45RL,JAPYZEY,46311,Office,15.79 x 11.26 x 1.18 ,1.15,2020-07-03,,,,,,,,,,,,,,Zenitsu Agatsuma,,,,,
NICOKEE Chevron Rectangle Gaming Mousepad Southwest Native American Chevron p3 Mouse Pad Mouse Mat for Computer Desk Laptop Office 9.5 X 7.9 Inch Non-Slip Rubber,B07RXPSXQL,Nicokee,32803,Office,9.45 x 7.87 x 0.12,0.3824,2019-05-20,,ABIT-MP3BA-10098,,,,,,,,,,,,M01-098,,,,,
Wireless Lightweight Gaming Mouse Honeycomb with 7 Button Multi RGB Backlit Perforated Ergonomic Shell Optical Sensor Adjustable DPI Rechargeable 800 mAh Battery USB Receiver for PC Mac Gamer(White),B08FX295MG,,9044,Video,4.72 x 3.15 x 1.57,1.008,2020-08-14,,TD-MICEWHITERGB,,,,,,,,,,,,,,,,,
"Bling Dazzling 2.4GHz Wireless Mouse Covered with Rhinestone Crystal, Slim Mouse with USB Receiver, Compatible with Notebook, PC, Laptop, Computer, MacBook,Great Gift idea for Her (White Diamond)",B0856ZV137,,1159,Computer,1.57 x 1.18 x 0.39,0.512,2020-02-27,,,,,,,,,,,,,,,,,,,
Belkin Standard 7.9-Inch by 9.8-Inch Mouse Pad with Neoprene Backing and Jersey Surface (Gray),B00004ZAGC,,9876,Office,9.84 x 7.87 x 0.12,0.11263999999999999,2017-07-26,Yes,F8E081-GRY,,,,,,,,,,,,,,,,,
Microsoft Surface Mobile Mouse (Silver) - KGY-00001,B07FDQ2MGG,Microsoft,513,Computer,5.3 x 3.48 x 1.42,0.8640000000000001,2018-07-10,No,KGY-00001,1 Lithium ion batteries required. (included),,,,,,,,,,,Silver,,,,,
"Mouse Pad, Round Mouse Mat, Non-Slip Rubber Mousepad with Design, Cute Office Mouse Pad with Stitched Edge for Women Girls Office Computer Laptop Travel (Marble Purple-MP)",B08FYC3GZF,BOCHEERY,22728,Office,7.76 x 7.6 x 0.51 ,0.2816,2020-08-30,,,,,,,,,,,,,,Marble Purple-mp,,,,,
"AUTLEY Vertical Wireless Mouse, Rechargeable 2.4G Optical Silent Click Ergonomic Mouse for Large Hands, Adjustable DPI 800/1200/1600, Large Hand Wireless Mouse for Laptop, Computer, Desktop, Black",B08DVCRB7Q,,754,Computer,5.31 x 3.9 x 3.31 ,1.1840000000000002,2020-07-29,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
RGB Gaming Mousepad LED Mouse Pad Large Mice Pads with Non-Slip Rubber Base Mouse Mat for Computer Mouse Mat for Computer Lion Mouse Pad (Red),B0888TB77H,Holeke,23814,Video,31.49 x 12 x 0.12,1.23,2020-05-07,,,,,,,,,,,,,,Red,,,,,
"Graphic Mouse Pad,Black Helmet Pattern Seamless Waterproof Gaming Cartoon Gift Mouse Pad Desk Accessories Non-Slip Rubber Mousepad for Laptop and Computer",B08K4MZPGY,DJSOK,20831,Office,7.87 x 9.45 x 0.12,0.3376,2020-09-26,,,,,,,,,,,,,,Black Helmet,,,,,
"Iron Man Mouse, 2.4G Noiseless Wireless Mouse with USB Receiver Portable Computer Mice for PC, Tablet, Laptop, Notebook - Gold",B0889KWYR5,,652,Computer,4.72 x 2.91 x 1.85 ,0.5632,2020-05-07,,,,,,,,,,,,,,,,,,,
"Quote Mousepad, She Could Mouse Pad, Watercolor Mouse Mat, Custom Round Mousepad, Heart Mousepad, Inspirational Quote Mousepad Motivational Quote",B07FZJTCVD,Pingpi,9221,Office,7.87 x 7.87 x 0.12,0.2528,2018-07-29,No,,,,,,,,,,,,,PA-113,,,,,
"Tislly Leather Desk Pad, Dual-Sided Desk Protector, Desk Mat for Keyboard and Mouse, Desk Blotters on Top of Desks for Writing in Office/Home (Black+Grey, 31.4"" x 15.7"")",B08P1GMF5K,Tislly,3907,Office,16.54 x 2.56 x 2.56 ,1.12,2020-11-23,,,,,,,,,,,,,,Black+grey,,,,,
"Havit 60% Wireless Mechanical Keyboard and Wired Mouse, Bluetooth 5.1 & Type C Wired 68 Keys Gaming Keyboard Brown Switch,Programmable Gaming Mouse for Multi-Device PC Laptop Gamer (Black)",B0852WQQZP,,3328,Video,16.3 x 6.06 x 1.93 ,2.14,2020-02-23,,KB498L-Brown-US,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
Large Mouse Pad Extended Speed Gaming Mouse Pad Fly Dragon Mouse Pad Gamer Office Computer Mouse Mat (A-Green),B07WJL78NX,Moptmos,34980,Office,31.5 x 11.8 x 0.08,1.6640000000000001,2019-03-19,,,,,,,,,,,,,,A-Green,,,,,
"Rechargeable Bluetooth Mouse , seenda Wireless Dual Mode Mouse , 3 Adjustable DPI, USB-Type-C Cordless Mouse for iPad OS 13, MacBook, PC, Chromebook, PS4 Pro, PS5 (Baby Blue)",B088ZL5MTR,,1068,Computer,5 x 3 x 2,0.512,2020-05-21,,SMM01,,,,,,,,,,,,,,,,,
New Folding Mouse 2.4Ghz Arc Touch Wireless Touch Optical Mouse with USB Receiver for Notebook/Laptop (Black),B083JWBTMM,,845,Computer,5.43 x 2.56 x 0.94 ,0.672,2020-01-07,,,,,,,,,,,,,,,,,,,
Gaming Mouse Pad Shore Palms Tropical Beach Oblong Shaped Mouse Mat Design Natural Eco Rubber Durable Computer Desk Stationery Accessories Mouse Pads For Gift Support Wired Wireless or Bluetooth Mouse,B00S7HPP2G,,12430,Office,11.5 x 1.1 x 5.8,0.16,2015-01-14,No,Sdu029,,,,,,No,,,,Sdu029,1,1,,,,,
"Computer Mini USB Wired Optical Mouse Portable for Laptop, Notebook, MacBook - Black",B079LXZTC1,,2468,Computer,3.7 x 2 x 1.3,0.10144,2018-02-05,No,,,,,,,,,,,,,,,,,,
HP USB Mouse,B008968NG0,HP,534,Computer,2.48 x 4.53 x 1.46,0.5648,2012-09-26,No,9436DWQ,1 Product Specific batteries required.,,QY777AA,,,,,,,,,Black,,,DDR3 SDRAM,,1
"Amcove Some People Just Need a High Five in The Face with a Chair Funny Quote Rectangle Mouse Pad, Coworker Employee Boss Gift Inspirational Circular Mouse Pads for Work",B08CZSKN42,Amcove,40056,Office,9.45 x 7.87 x 0.12,0.3824,2020-07-15,,Amcove-MP-3425,,,,,,,,,,,,Am03,,,,,
"ASUS Optical RGB Gaming Mouse - TUF M3 | Ergonomic, Lightweight Right-Handed Wired Gaming Mouse for PC | 7000 DPI Gaming-Grade Optical Sensor | Omron Switches | 7 Buttons | Aura Sync RGB Lighting",B07YD7J7P4,ASUS,6805,Video,3.96 x 2.17 x 5.98,0.4736,2019-11-06,,TUF Gaming M3,AA batteries required.,,TUF Gaming M3,,,,,,,,,Gray,,,,,
X9 Performance Silent Wireless Mouse for Mac or PC - Quiet Click Buttons and DPI Switch 800/1200/1600 - Comfortable and Ambidextrous USB Mouse Wireless - Work On the Go with a Versatile Portable Mouse,B087JH1G6C,,1153,Computer,7.9 x 2.8 x 0.9 ,0.3824,2020-09-20,,X9RFDYNAMOUSE,2 AAA batteries required.,,,,,,,,,,,,,,,,
JNKPOAI Naruto Mouse Pad Customized Rubber Mouse Pad Gaming Mouse Mat (Naruto),B08NSY23NY,,33981,Office,9.37 x 7.76 x 0.28 ,0.4112,2020-11-18,,,,,,,,,,,,,,,,,,,
"3M Precise Mouse Pad with Non-skid Foam Back, Enhances the Precision of Optical Mice at Fast Speeds, 9"" x 8"", Frostbyte (MP114-BSD2)",B00L2AN9IW,3M,19894,Office,0.33 x 9.38 x 9,0.5696,2014-06-09,No,MP114-BSD2,,,,,,,,,,,,Frostbyte,,,,,
Verbatim USB-C Mini Optical Travel Mouse - Black,B01FXDVNU4,Verbatim,818,Computer,1.69 x 2.95 x 1.14,0.0016,2016-05-20,No,99235,,,Go Mini,,,,,,,,,Black,,,,,
"Extended Gaming Mouse Pad, LANGTU Large XXL Mouse Mat with Stitched Edge, Pink Desk Mat for Computer Keyboard, Laptop & PC, Non-Slip Natural Rubber Base",B08CMQHZDR,LANGTU,20097,Office,16.1 x 3 x 2.6 ,1.4,2019-09-18,,,,,,,,,,,,,,Pink-l,,,,,
Onwon Cartoon Wrist protected Personalized Computer Decoration Gel Wrist Rest Mouse Pad Ergonomic Design Memory Foam Mouse Pad Gel Mouse Pad/Wrist Rest(Cow Style),B01FVF171O,,8371,Office,9 x 7.5 x 0.5,0.512,2016-05-19,No,Onwon-0017,,,,,,,,,,,,,,,,,
"Glorious Model D Gaming Mouse, Matte White (GD-White)",B0822Y456P,,783,Video,5.04 x 2.64 x 1.65,0.384,2020-01-14,No,GD-WHITE,,,,,,,,,,,,,,,,,
My Hero Academia Mouse Pad Anime Mouse Pad Mouse Mat for Office Supplies 9.8x11.8x0.12inch,B08BKQMCQ8,,33776,Office,11.6 x 9.7 x 0.2 ,0.6368,2020-06-21,,,,,,,,,,,,,,,,,,,
CHONCHOW Mechanical Gaming Keyboard and Mouse Combo TKL 87 Keys Blue Switches Rainbow RGB Backlit Keyboard and 6 Buttons Gaming Mouse Value Combo for PS4 PC Windows,B07Y4CGM38,,4389,Video,14.3 x 5.3 x 1.2,1.4,2019-09-19,,,,,,,,,,,,,,,,,,,
"ITNRSIIET Keyboard Wrist Rest and Mouse Pad with Wrist Support, Ergonomic Mouse Pad, Comfortable for Easy Typing, Pain Relief, Memory Foam Keyboard Pad Set for Laptop Mac, Cute Cactus",B08KZQLHQJ,ITNRSIIET,11154,Office,16.02 x 9.88 x 1.22 ,1.44,2020-10-10,,Cute Cactus,,,,,,,,,,,,Cute Cactus,,,,,
"iMiMi Lovely Pug Dog Gaming Mouse Pad Non-Slip Rectangle Mouse Mat in 220mm180mm3mm (9""7"")",B019DYBCLE,,21901,Office,9 x 7.5 x 0.1,0.4608,2015-12-15,No,BC63114,,,,,,,,,,,,,,,,,
"Logitech G305 Lightspeed Wireless Gaming Mouse, Black",B07CMS5Q6P,Logitech G,458,Video,2.45 x 1.5 x 4.6,0.5376,2018-05-15,No,910-005280,1 AA batteries required. (included),,,,,,,,,,,Black,,,,,
"AZFUNN Metal Mouse Pad, Gaming Aluminum Alloy Hard Mouse Mat, High-Grade PU Leather and Polycarbonate Dual-Use Mouse Pad for Fast and Accurate Control 7.8x6.7 inches (Black)",B07L9NMV9R,AZFUNN,53648,Office,7.87 x 6.69 x 0.08,0.768,2018-12-11,No,,,,,,,,,,,,,Black,,,,,
"Mouse Pad, Cool Fox Mouse Pad, Galaxy Background Design Mouse Pad, Gaming Mouse Mat, Square Waterproof Mouse Pad Non-Slip Rubber Base MousePads for Office Home Laptop Travel, 9.5""x7.9""x0.12"" Inch",B08PV733CX,EASTSMOOTH,54721,Office,9.5 x 7.9 x 0.12 ,0.512,2020-12-17,,,,,,,,,,,,,,Galaxy Fox,,,,,
Logitech Color Collection Wireless Mouse - Urban Sunset,B07TSQVVN8,,715,Computer,8 x 5 x 4,0.512,2019-07-05,No,910-005659,1 AA batteries required. (included),,,,,,,,,,,,,,,,
"Macally Small Wireless Keyboard and Mouse Combo - An Essential Workspace Duo - 2.4G Wireless Keyboard Mouse for PC - 78 Key Mini Keyboard and Mouse with Slim Body, Quiet Click Buttons, and 3 DPI Modes",B081549BN2,,92,Computer,14.17 x 6.02 x 1.61 ,2.32,2019-11-18,,RFCOMPACTKEYCB,,,,,,,,,,,,,,,,,
"RGB 87 Keys Gaming Keyboard and Mouse Combo, CHONCHOW USB Wired LED Rainbow Gaming Keyboard Mouse Set for Laptop Ps4 PC Computer Game and Work",B07YHSTNJP,,2988,Video,13.78 x 5.31 x 1.38,1.64,2019-09-28,,102C,,,,,,,,,,,,,,,,,
Round Gaming Mouse Pad Creative Custom Non-Slip Mouse Mat-Best Mickey Mouse,B07HYZJWBS,Hero,33275,Office,9.45 x 7.87 x 0.12,0.2528,2018-10-03,,NF-K0121,,,,,,,,,,,,F0121,,,,,
"Wired Keyboard and Mouse,Rii RK203 Ultra Full Size Slim USB Basic Wired Keyboard Mouse Combo Set with Number Pad for Computer,Laptop,PC,Notebook,Windows",B08CR7XW4F,,338,Computer,17.01 x 7.87 x 1.97 ,1.2,2020-07-10,,,,,,,,,,,,,,,,,,,
"Lomi-luskr AJ52 Gaming Mice Wired, Programmable 7 Buttons, Computer Mice with RGB LED Backlit, 200-4800 DPI Adjustable,for Windows/Mac OS/Linux (Pink)",B082ZQT81M,,604,Computer,5.71 x 3.94 x 1.77,0.72,2020-09-12,,,,,,,,,,,,,,,,,,,
"MARVO G961 Honeycomb Gaming Mouse, 6 Programmable Buttons, RGB Backlight, Macro Customization, 12000 DPI Optical Sensor, Lightweight, Drag-free Soft Paracord",B08N66KWCP,,6588,Video,7.87 x 4.57 x 2.64 inches; 2.6 Ou,0.41600000000000004,2020-11-10,,,,,,,,,,,,,,,,,,,
JNKPOAI Star Wars Mouse Pads. Anti-Slip Mousepad. (Star Wars#1),B08HJ4YCXQ,JNKPOAI,18033,Office,9.33 x 7.83 x 0.16 ,0.4112,2020-09-04,,,,,,,,,,,,,,Star Wars#1,,,,,
"SenseAGE 3-in-1 Mouse Pad, Multi-Functional Microfiber Mouse Pad for Laptop, Portable & Washable Keyboard Mat, Monitor Protection, Monitor Cleaning All in One, Black",B083VW8JMQ,,18174,Office,12.6 x 6.1 x 0.04,0.512,2020-01-15,,,,,,,,,,,,,,,,,,,
"HBZZT Mouse Pad with Stitched Edge, The Legend of Zelda Mouse Mat, Waterproof, Non-Slip Rubber Base Round Mousepad for Laptop Computer PC Office, Cute Design Desk Accessories 1 PCS",B08GCH7GY3,,51376,Office,7.91 x 7.76 x 0.47 ,0.2816,,,,,,,,,,,,,,,,,,,,
"Dog Lover Mouse Pad, Dog Breeds Profiles Pets Shepherd Terrier Labrador Domestic Animals Illustration Non-Slip Mouse pad Gaming Mouse pad",B07CVRZ9F2,Pingpi,11723,Office,9.45 x 7.87 x 0.12,0.512,2018-05-05,,,,,,,,,,,,,,P23,,,,,
"Argonaut Gaming Mouse Mat, Non-Slip Rubber Base, Smooth Cloth Surface, Anti-Fray Stitched Edges for Computer, PC, Desk, (900x400x4mm, Blue Grey)",B07R9RMZYK,Argonaut Computer Accessories,58144,Office,15.59 x 3.54 x 2.6 ,1.72,2020-05-15,,,,,,,,,,,,,,Blue Grey,,,,,
Round Gaming Mouse Pad Creative Custom Non Slip Rubber Mousepad Mat-Captain America Shield Icon,B07P7B7679,Hero,19037,Office,8 x 8 x 0.1,0.304,2019-03-03,,NF-a09202,,,,,,,,,,,,A202,,,,,
31.5x11.8 Inch Cool Legend Black Mamba Kobe Non-Slip Rubber Extended Large Gaming Mouse Pad with Stitched Edges Computer Keyboard Mouse Mat PC Accessories (8-Dunk 8&24),B07RBZH96L,Daisy House,11365,Office,12.56 x 3.7 x 1.85 ,1.8559999999999999,2019-06-13,,,,,,,,,,,,,,8&24,,,,,
"Bluetooth Mouse, FENIFOX Slim Mini Portable Flat Travel Wireless Mouse Rechargeable Quiet Ultra-Thin Mice Compatible with Laptop,Tablet,Notebook,PC (Silver and White)",B06ZZJ6C3P,,576,Computer,4.52 x 1.97 x 0.55,0.256,2017-04-13,No,MX106SL,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"Big Mouse Pad with Double Stitched Edges, 14.6 x 11.6 inches Premium-Textured & Waterproof Mousepad, Nonslip Natural Rubber Base Mouse pad for Gaming Computer & Laptop & PC, Desktop, Office -Black",B087P7QBM9,Hsmienk,24366,Office,11.97 x 7.24 x 0.16 ,0.8959999999999999,2020-05-03,,AB-017,,,,,,,,,,,,Black,,,,,
"Corsair M55 RGB Pro Wired Ambidextrous Multi-Grip Gaming Mouse - 12,400 DPI Adjustable Sensor - 8 Programmable Buttons - White",B07TL5TKG9,Corsair,3566,Video,9.57 x 4.92 x 7.68,0.4864,2019-08-21,No,CH-9308111-NA,,,,,,,,,,,,White,,,,,
"Macally 3-Button Optical USB Wired Computer Mouse with 5-Foot Cord, Compatible with PCs, Apple Macs, Desktops, Laptops (ICEMOUSE3), White",B075M9N6Q4,Macally,536,Computer,3.5 x 2.9 x 1.5,0.64,2017-09-12,No,ICEMOUSE3,,,,,,,,,,,,White,,,,,
"BOSOBO Ergonomic Mouse Pad with Gel Wrist Rest Support, Colorful Watercolor Painting Wrist Rest Mousepad Custom Pain Relief Mouse Mat for Office Home Computer Laptop Women and Men, Non-Slip PU Base",B08796W86W,BOSOBO,19940,Office,8.7 x 7.2 x 0.4,0.8959999999999999,2019-02-20,,,,,,,,,,,,,,Colorful Watercolor Painting,,,,,
"Creative Round Mouse Pad, Game Mouse Pad, Non-Slip Rubber Base, for Computer PC, Notebook Computer, Waterproof Office Mouse Pad (SE006)",B08DY83CTR,,47593,Office,8.66 x 0.12 x 8.66,0.33280000000000004,2020-07-30,No,,,,,,,,,,,,,,,,,,
"Wireless Gaming Keyboard and Mouse,Rainbow Backlit Rechargeable Keyboard Mouse with 3800mAh Battery Metal Panel,Removable Hand Rest Mechanical Feel Keyboard and 7 Color Gaming Mute Mouse for PC Gamers",B082V77SZ1,,1138,Video,23.4 x 8.7 x 2.1 ,3.09,2019-12-17,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
MELLO Silicone Cushion for Apple Magic Mouse 1 & 2 (White),B087BLBPMV,,794,Computer,2.76 x 2.24 x 1.02,0.2368,2020-06-01,,,,,,,,,,,,,,,,,,,
"Protective Sleeve for Apple Magic Mouse 1 and 2, Silicone Case Cover Compatible with Apple Magic Mouse Lightweight Anti-Slip (Turquoise)",B08HLT6V2B,,1126,Computer,5.91 x 3.94 x 0.2 ,0.10144,2020-09-07,,,,,,,,,,,,,,,,,,,
"USB C Mouse,Lightweight Gaming Type C Mouse up to 7200 DPI,Honeycomb Wired Mouse for MacBook Pro Chromebook Laptop PC and More USB Type C Devices (White)",B08MJRGV52,,19075,Video,1.97 x 1.57 x 0.79,0.5632,2020-11-03,,,,,,,,,,,,,,,,,,,
"ESGAMING RGB Gaming Mouse Pad, 35.4 x 15.7 Inch Large LED Soft Extra Extended Mousepad, Non-Slip Rubber Base Computer Keyboard Pad Mat for Gamer, Suitable for MacBook, PC, Laptop, Desk",B08J4G88NG,,303,Computer,35.4 x 15.7 x 0.2,2.07,2020-12-16,,,,,,,,,,,,,,,,,,,
"Wireless Mouse, BEVER 2.4G Wireless Ergonomic Iron Man Mouse Computer Mouse Laptop Mouse with Nano Receiver 3 Adjustable DPI Levels Cordless Wireless Mice for Windows, Mac (Black)",B084VM9VSC,,1675,Computer,5 x 3.4 x 1.9 ,0.5632,2020-02-17,,,,,,,,,,,,,,,,,,,
iHome Retro Style Wireless Mouse with Scroll Wheel and 2 Buttons (Mac and PC Compatible) (Blue),B089NZV4X6,,2473,Computer,8 x 4.1 x 1.6 ,0.768,2020-06-04,,,,,,,,,,,,,,,,,,,
Kensington Orbit Trackball Mouse with Scroll Ring (K72337US),B002OOWB3O,Kensington,2,Computer,2 x 6 x 8,1.6640000000000001,2009-10-17,No,K72337US,1 AA batteries required.,,K72337US,,,,,,,,,Black,,,DDR3 SDRAM,,
"Bluetooth Mouse, Noiseless Mouse with USB Nano Receiver，Ergonomic Dual Mode(Bluetooth + USB) Rechargeable Bluetooth Wireless Mouse for Laptop, iPad, MacBook Pro,PC,Computer,Notebook (White)",B08GPD6QS4,,1362,Computer,4.44 x 2.91 x 1.63,0.5136000000000001,2020-08-26,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"VCOM Wired USB Mouse with 6-Foot Cord & 1200 DPI, Right or Left Hand Use for Work Study Home, 3-Button Ergonomic Optical Mouse Compatible with PC Laptops Desktop Computer Windows Vista Linux, Black",B07CGKD4Y4,,674,Computer,4 x 2.4 x 1.3,0.44799999999999995,2018-04-16,No,DM114,,,,,,,,,,,,,,,,,
"Wireless Keyboard and Mouse Combo, Jelly Comb KUT027 Wireless Keyboard and Mouse 2.4GHz Full Size Ultra-Thin Keyboard Mouse for Computer, Laptop, PC, Desktop, Windows 7, 8, 10 -White and Purple",B086XG661X,,89,Computer,17.6 x 5.1 x 1.9 ,1.35,2020-04-09,,,,,,,,,,,,,,,,,,,
"6.6FT USB 3.0 Extension Cable Type A Male to Female Extension Cord AINOPE High Data Transfer Compatible with USB Keyboard,Mouse,Flash Drive, Hard Drive-Grey",B08HD5SVR8,,331,USB,10.91 x 7.2 x 0.47 ,0.46240000000000003,2020-09-03,,,,,,,,,,,,,,,,,,,
"Smooffly Circular Mouse pad, Watercolor Leaves Mousepad, Wild Leaf Mouse pad, Round Mouse pad, Office Decor, Coworker Gift, Gift for Friend, Desk Accessories",B07TRWNBHT,Smooffly,13472,Office,7.87 x 7.87 x 0.12,0.2528,2019-06-30,,SMGM-MP6550,,,,,,,,,,,,Gmr50,,,,,
"Macally Wireless Keyboard and Mouse Combo Bundle for PC, Desktop Computer, Laptop, Notebook, ChromeBook - Ultra Slim Cordless Keyboard Mouse Combo Set, Compatible with Windows 10/8/7/Vista/XP, etc.",B07YBWXZVX,,207,Computer,17.76 x 9.65 x 1.85 ,1.54,2019-04-22,,RFDDKEYCOMBO,,,,,,,,,,,,,,,,,
"ITNRSIIET Mouse Pad, Ergonomic Mouse Pad with Gel Wrist Rest Support, Floral Mousepad with Lycra Cloth, Non-Slip PU Base for Gaming Computer, Laptop, Home, Office & Travel Inspirational Quotes",B08HQ1JRM7,ITNRSIIET,9670,Office,9.5 x 8.3 x 0.75,0.96,2020-09-09,,Inspirational Quotes,,,,,,,,,,,,Inspirational Quotes,,,,,
Folding Mouse 2.4GHz Portable with USB Interface,B08R8Y538R,,1063,Computer,2.76 x 1.18 x 0.39 ,0.39520000000000005,2020-12-24,,,,,,,,,,,,,,,,,,,
"Zeus Gear Extended XL Gaming Mouse Pad / Mat - Stitched Edges, Black, Natural Rubber | 36""x16""x0.12"" (ZG-AE-EXXL) New Logo",B06XG9FLDD,Zeus Gear,30044,Office,36 x 0.12 x 16,1.6,2017-03-07,No,ZG-AE-EXXL,,,,,,,,,,,,Black,,,,,
ROCCAT Burst Pro White Extreme Lightweight Optical Pro Gaming Mouse,B08JWQS4M2,ROCCAT,3230,Video,6.25 x 4.25 x 2.5 ,1.024,2020-09-29,,ROC-11-748,,,Burst Pro White,,,,,,,,,White,,,,,
"Round Gaming Mouse Pad Baby Child, Computer Mousepad for Laptop and Desktop, Cute Funny Mouse Mat for Kid and Office Gift",B08KFZP411,Kxanyy,22032,Office,8 x 8 x 0.1,0.3152,2020-09-30,,A011W,,,,,,,,,,,,A11,,,,,
