name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"SteelSeries Sensei 310 Gaming Mouse - 12,000 CPI TrueMove3 Optical Sensor - Ambidextrous Design - Split-Trigger Buttons - RGB Lighting, Black",B073WGB8G6,SteelSeries,1369,Video,4.93 x 2.77 x 1.53,0.5632,2017-08-01,No,62432,,,62432,,,,,,,,,Black,,,,,
Macally 2.4G Wireless Mouse (Optical) with USB Cordless Mice Receiver - Long Range & Portable - Works with Mac Mini/Apple MacBook Pro/Air or Windows PC Notebook Laptops & Desktop Computers - White,B07NSG8W58,,277,Computer,4 x 2.4 x 1.6,0.512,2019-02-15,,RFXMOUSE,1 AA batteries required. (included),,,,,,,,,,,,,,,,
Logitech G PRO Wireless Gaming Mouse - Shroud Edition,B08DYY16J6,Logitech G,156,Computer,6.77 x 2.65 x 4.53,0.44799999999999995,2020-09-15,,910-005974,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"RGB Gaming Mouse Pad with 11 RGB Light up Modes,LED Gaming Pad,Non-Slip Rubber Based Computer Mice mat Medium Size(13.7” x 10.3”)",B07R6KMTFN,,1720,Video,13.7 x 10.3 x 0.12,1.4080000000000001,2019-04-28,,,,,,,,,,,,,,,,,,,
"Purple Butterfly Customized Rectangle Mousepad, Mouse Pad",B00MILIOKM,VOSARIY,5787,Office,11.5 x 1.1 x 5.8,0.1536,2014-08-08,No,ntfdfh,,,,,,,,,,,,Purple,,,,,
"Mouse Pad, Custom Cute Unicorn with Blue Stars Mousepads, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC, 9.5x7.9x0.12 inches",B087RLL9QT,Colinden,14867,Office,9.5 x 7.9 x 0.1,0.3824,2020-04-28,,,,,,,,,,,,,,A-a,,,,,
"LeadsaiL Computer Wireless Mouse, 2.4G Wireless Ergonomic Portable Mobile Mouse, Cordless Mouse with USB Receiver, 3 Adjustable DPI Levels for Notebook, PC, Laptop, Computer, MacBook (Red)",B087Q719JY,,365,Computer,3.94 x 1.97 x 1.18,0.42240000000000005,2020-04-27,,,,,,,,,,,,,,,,,,,
"Galaxy Round Mouse Pad by Smooffly,Blue Purple Galaxy Customized Round Non-Slip Rubber Mousepad Gaming Mouse Pad 7.87""X7.87"" inch",B079NV9YNC,,17275,Office,7.87 x 7.87 x 0.12,0.12960000000000002,2018-02-08,No,8541655447,,,,,,,,,,,,,,,,,
"RGB Gaming Mouse Pad, 14 Lights Modes with 4 USB Ports Ultra-Large Size Soft Extra Extended Mousepad, Anti-Slip Rubber Base Computer Keyboard Mat 31.5X 11.8in",B077HTGQ51,,9925,Office,12.6 x 3.9 x 3.86 ,1.76,2020-08-18,,,,,,,,,,,,,,,,,,,
"Auhoahsil Gaming Mouse Pad, Square Outer Space Theme Anti-Slip Rubber Mousepad with Stitched Edge for Office Laptop Computer PC Men Women Kids, Custom Pattern, 9.8 x 9.8 in, Mysterious Galaxy Design",B08JTDKR1J,Auhoahsil,13366,Office,14.53 x 8.19 x 0.28 ,0.672,2020-09-23,,,,,,,,,,,,,,Mysterious Galaxy,,,,,
"Type C Wireless Mouse, Jelly Comb 2.4GHz Wireless Mouse with 2 in 1 USB and Type C Receiver Compatible with PC, Laptop, MacBook, MacBook Pro - White and Silver",B083B7HBC7,,710,Computer,6.3 x 4.13 x 1.77 ,0.6032000000000001,2019-12-31,,,,,,,,,,,,,,,,,,,
"Wired Lightweight Gaming Mouse , 6400DPI Backlit Mice with 7 Buttons Programmable Driver,Ultralight Honeycomb Shell Ultraweave Cable Mouse for PC Gamers and Xbox and PS4 Users(Red)",B08JPLKMGM,,3907,Video,6.06 x 4.09 x 2.09 ,0.8959999999999999,2020-09-22,,,,,,,,,,,,,,,,,,,
Logitech Wireless Mouse M310 (Flame Red),B004ZEZB88,,495,Computer,8.82 x 3.62 x 6.46,0.768,2011-06-01,No,910-002486,1 AA batteries required. (included),,,,,,,,,,,,,,,,
"Insten Premium Leather Mouse Pad with Waterproof Coating, Non Slip & Elegant Stitched Edges, Black",B01E9V515O,INSTEN,12747,Office,8.66 x 7.09 x 0.12,0.35840000000000005,2016-04-15,No,2208903,,,,,,,,,,,,[Leather Mouse Pad] Black,,,,,
3Dconnexion 3DX-700066 Spacemouse Wireless (with Carry Case and Universal Receiver),B079V367MM,3DConnexion,358,Computer,3.07 x 3.07 x 2.09,1.23,2018-02-14,No,3DX-700066,1 Lithium Polymer batteries required. (included),5 Volts,,,,,,,,,,,,,,,
"Auhoahsil Mouse Pad, Square Outer Space Mousepad Anti-Slip Rubber Mouse Mat with Durable Stitched Edge for Office Gaming Laptop Computer PC Men Women Kids, 11.8 x 9.8 in, Custom Galaxy & Stars Design",B088TX6V82,Auhoahsil,7139,Office,11.8 x 9.85 x 0.24,0.8959999999999999,2020-05-19,,,,,,,,,,,,,,Marvelous Galaxy,,,,,
"Verbatim Wireless Silent Mouse 2.4GHz with Nano Receiver - Ergonomic, Blue LED, Noiseless and Silent Click for Mac and Windows - Blue",B075FSW3S8,Verbatim,1379,Computer,3.7 x 2.3 x 1.4,0.33280000000000004,2017-09-07,No,99770,2 AAA batteries required. (included),,Silent,,,,,,,,,Blue,,,,,
"Amcove Gaming Mouse Pad Custom, Stay Positive Work Hard and Make It Happen Inspirational Quotes Mouse pad Art Rose Gold and Silver Glitter Black Quote",B08CZN895J,Amcove,10261,Office,9.45 x 7.87 x 0.12,0.4736,2020-07-15,,Amcove-MP-3134,,,,,,,,,,,,Am06,,,,,
Colorful Flower Petals Round Mouse Pad Personalized Design Cute Mouse Pad Small Size Non-Slip Rubber Mouse Pads for Computer Laptop,B08P5L9W8G,IMAYONDIA,10048,Office,7.9 x 7.9 x 0.12,0.05072,2020-11-27,,,,,,,,,,,,,,Flower Petals,,,,,
"Gaming Mouse Pad, Canjoy Extended Mouse Pad, XXL Large Big Computer Keyboard Mouse Mat Desk Pad with Non-Slip Base and Stitched Edge for Home Office Gaming Work, 31.5x15.7x0.12inch, Galaxy Print",B08P1WH5D2,,7942,Office,16.3 x 2.36 x 2.01 ,2.432,2020-11-23,,,,,,,,,,,,,,,,,,,
WiebeTech Programmable Mouse Jiggler MJ-3 (Single Unit),B00MTZY7Y4,,211,Computer,0.8 x 0.6 x 0.3,0.0512,2017-10-21,No,30200-0100-0013,,,,,,,,,,,,,,,,,
"OMOTON Bluetooth Keyboard and Mouse for iPad and iPhone (iPadOS 13 / iOS 13 and Above), Compatible with New iPad 10.2, iPad Pro 12.9/11.0, and Other Bluetooth Enabled Devices, Silver White",B08244KDL1,,105,Computer,13.74 x 4.72 x 1.18,1.8719999999999999,2019-11-28,,,2 AAA batteries required.,,,,,,,,,,,,,,,,
"GIM Mouse pad, Memory Foam Mouse Wrist Rest Support Cushion with Non Slip Rubber Base for Laptop, Computer, Gaming, Office",B083TDP9C5,,14866,Office,8.5 x 8 x 0.6 ,0.8640000000000001,2020-02-15,,,,,,,,,,,,,,,,,,,
