,ASIN,title,rating,review_count,price,product_type
59,B07S395RWD,Logitech MX Master 3 Advanced Wireless Mouse - Graphite,4.7,6449,98.49,Mouse
60,B07Y65DF83,"Wireless Mouse ,Jelly Comb Type C 2.4G Wireless Computer Silent Mouse with 3 DPI for Laptop/iPad pro/MacBook/PC/Windows/Android -Black and Sliver",4.6,6040,7.19,Mouse
61,B0148NPIQK,"Logitech M535 Bluetooth Mouse Compact Wireless Mouse with 10 Month Battery Life Works with Any Bluetooth Enabled Computer, Laptop or Tablet Running Windows, Mac OS, Chrome or Android, Gray - Black",4.6,7089,28.61,Mouse
62,B07YPC3BQC,Razer Viper Ultimate Hyperspeed Lightest Wireless Gaming Mouse & RGB Charging Dock: Fastest Gaming Mouse Switch - 20K DPI Optical Sensor - Chroma Lighting - 8 Programmable Buttons - 70 Hr Battery,4.7,11724,129.99,Mouse
63,B08M19C7ML,"LED Wireless Mouse, Jelly Comb 2.4G Noiseless Mouse with USB Receiver, Rechargeable Portable Mice for Computer, Laptop, PC, Tablet, Chromebook",4.9,128,10.99,Mouse
65,B08GWR1WWN,"TOWWI PU Leather Desk Pad with Suede Base, Multi-Color Non-Slip Mouse Pad, 36” x 17” Waterproof Desk Writing Mat, Large Desk Blotter Protector(Black)",4.8,1260,17.99,Mouse
68,B078CQ311V,"MROCO Mouse Pad Pack [30% Larger] with Non-Slip Rubber Base, Premium-Textured & Waterproof Mousepads Bulk with Stitched Edges, Mouse Pads for Computers, Laptop, Office & Home, 8.5x11 in, 3 Pack, Black",4.7,3316,7.99,Mouse
69,B079HM4568,"VicTsing Computer Wireless Mouse, 2.4G Portable USB Mouse Ergonomic Mouse- Fit Your Hand Nicely, 5 Adjustable DPI Levels, Page Down/Up Buttons, 20 Months Battery Life, Designed for PC, Desktop, Laptop",4.6,19062,10.99,Mouse
70,B07LH6L2W6,"BOSOBO Mouse Pad, Round Mandala Mouse Mat, Cute Mouse Pad with Design, Non-Slip Rubber Base Mousepad with Stitched Edge, Waterproof Office Mouse Pad, Small Size 7.9 x 7.9 x 0.1 Inch, Mandala Colour",4.8,8422,5.99,Mouse
71,B07XKMZC7K,Wireless Mouse for Laptop Mac Desktop Computer Wireless Mouse for MacBook pro MacBook Air Laptop Windows iMac (Blue),4.1,8143,13.96,Mouse
81,B07WV6TR8X,"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for iPad, Laptop, Notebook, PC and Mac - Off White",4.8,5447,27.62,Mouse
82,B07DHDFW5V,"Logitech MX Master Wireless Mouse – High-precision Sensor, Speed-Adaptive Scroll Wheel, Easy-Switch up to 3 Devices - Meteorite Black",4.7,3984,74.99,Mouse
83,B07L4BGL3D,"Blade Hawks RGB Gaming Mouse Pad, LED Soft Extra Extended Large Mouse Pad, Anti-Slip Rubber Base, Computer Keyboard Mouse Mat - 31.5 X 12 Inch",4.8,8023,16.6,Mouse
84,B083SBW2XD,"VicTsing Big Mouse Pad with Double Stitched Edge, 【Upgraded Version】14.6×11.8 inches Superfine Textured Mouse Mat, Nonslip Natural Rubber Base Mouse pad for Gaming Computer & Laptop & PC, Black",4.7,1854,10.99,Mouse
85,B00006HTZ0,Belkin Standard 8-Inch by 9-Inch Computer Mouse Pad with Neoprene Backing and Jersey Surface (Black) (F8E089-BLK),4.6,7037,4.99,Mouse
88,B081HYV121,"Ergonomic Wireless Mouse, Iron Man Mouse 2.4G Portable Mobile Computer Mouse with USB Nano Receiver for Notebook, PC, Laptop, Computer, MacBook, Responds up to 33 ft. (10m)",4.6,1033,16.99,Mouse
91,B0788MCRGC,"Razer Naga Trinity Gaming Mouse: 16,000 DPI Optical Sensor - Chroma RGB Lighting - Interchangeable Side Plate w/ 2, 7, 12 Button Configurations - Mechanical Switches",4.5,8572,89.97,Mouse
92,B082NS6LW8,"iPad Mouse, OMOTON Bluetooth Mouse for iPad Air 4, iPad 8th/ 7th Gen, iPad Pro 12.9/ 11 (iPad OS 13 or Above), MacBook Air/Pro, Bluetooth Enabled Laptop, Computer, PC, Notebook (Silver)",4.5,1551,12.99,Mouse
93,B087CPL37B,"JITOPKEY M120 USB Optical Wired Computer Mouse with Easy Click for Office and Home, 1000DPI, Premium and Portable,Compatible with Windows PC, Laptop, Desktop, Notebook (Grey)",4.8,439,10.99,Mouse
94,B07S9QRF3J,"Rechargeable Bluetooth Mouse, Jelly Comb Dual Mode 2.4GHz Wireless and Bluetooth Mouse Compatible for MacBook, Laptop, Windows",4.5,795,14.99,Mouse
99,B00JUHDYSO,"Logitech M557 Bluetooth Mouse – Wireless Mouse with 1 Year Battery Life, Side-to-Side Scrolling, and Right or Left Hand Use with Apple Mac or Microsoft Windows Computers and Laptops, Gray",4.5,2747,34.88,Mouse
100,B086W89NPL,"Bluetooth Wireless Mouse, Slim Dual Mode(Bluetooth 5.0 and 2.4G Wireless) Rechargeable Wireless Mouse with 3 Adjustable DPI for MacBook, Laptop, MacOS 10.10, Android 5.0, Windows 8 or Above",4.3,6456,14.99,Mouse
101,B003D8ZT0C,Logitech Wired Mouse M90 Black USB,4.7,7390,11.99,Mouse
102,B087P6HQDT,"Large Extended Gaming Mouse Pad with Stitched Edges, (31.5X15.7In) Durable Non-Slip Natural Rubber Base, Waterproof Computer Keyboard Pad Mat for Esports Pros/Gamer/Desktop/Office/Home-Black",4.8,304,13.99,Mouse
103,B08JYHFP3N,"Dooke Ergonomic Mouse Pad with Wrist Support, Cute Mouse Pads with Non-Slip Rubber Base for Home Office Working Studying Easy Typing & Pain Relief Orange",4.8,5549,12.98,Mouse
104,B0753P1GTS,"Logitech MX Ergo Wireless Trackball Mouse Adjustable Ergonomic Design, Control and Move Text/Images/Files Between 2 Windows and Apple Mac Computers (Bluetooth or USB), Rechargeable, Graphite - Black",4.6,5057,89.0,Mouse
107,B07XB52RLR,"Bluetooth Ergonomic Mouse, Jelly Comb Advanced Vertical Wireless Bluetooth Mouse 2.4GHz Optical Vertical Mice, Easy Switch Between 2 Devices with Bluetooth and USB Connection MV045-Black",4.5,3076,21.99,Mouse
108,B08F9ZXXSG,"VicTsing Gaming Mouse Pad, RGB Mouse Pad with 13 Lighting Modes 2 Brightness Level, Computer Mouse Pad Game Mouse Mat, Mousepad XL for Game, 800x300mm",4.7,3145,21.99,Mouse
109,B088K5RJXN,"Wireless Keyboard and Mouse, Jelly Comb 2.4G Ultra Slim Wireless Keyboard Mouse Combo with 12 Multi-Media Keys and Auto Sleep for Windows/Computer/PC/Laptop/Desktop-Black and Green",4.6,624,20.99,Mouse
111,B078J96YL2,"LeadsaiL Rechargeable Wireless Computer Mouse, 2.4G Portable Slim Cordless Mouse Less Noise for Laptop Optical Mouse with 5 Adjustable DPI Levels USB Mouse for Laptop, Deskbtop, MacBook",4.5,1483,12.99,Mouse
113,B08BNKZFH7,"Rechargeable Wireless Mouse, seenda 2.4G Cordless Mouse with USB and Type C 2 in 1 Receiver, Silent Portable Computer Mouse for Laptop, MacBook, Chromebook, PC - Purple",4.8,117,10.99,Mouse
118,B076V3ZMLQ,Logitech Doodle Collection M325c - Mouse - optical - 5 buttons - wireless - 2.4 GHz - USB wireless receiver - Twinkle Teal,4.7,10133,38.99,Mouse
119,B0042BBR2S,Logitech M570 Wireless Trackball Mouse,4.7,5745,38.0,Mouse
120,B084FFRPLX,"Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (Purple,31.5"" x 15.7"")",4.7,14362,13.99,Mouse
121,B08NPQC18N,"VicTsing Silent Wireless Mouse, Mouse for Laptop 2.4G with USB Nano Receiver, Portable Computer Mice 5 Adjustable DPI for Chromebook, Notebook, PC, Laptop, Computer, MacBook – Midnight Black",4.7,151,9.98,Mouse
122,B07NRMKPMD,"Oriday Gaming Mouse Pad Custom, Modern Gold Cross Line Design for Women Non-Slip Rubber Thick Mouse Pad for Computers Laptop (Chic White)",4.7,4367,7.49,Mouse
123,B08FRPWMMQ,"Mr. Pen- Mouse Pad, Mouse Pads for Wireless Mouse, 2 Pack, Mouse Pad Gaming, Computer Mouse Pad, Mouse Pad for Laptop, Gamer Mouse Pad, Pad Mouse, Mouse Pad for Gaming, Laptop Mouse Pad, PC Mouse Pad",4.6,30,5.99,Mouse
124,B084H44G6N,"iHome Wireless Mac Mouse with Scroll Wheel, 3-Buttons, 1600 DPI, Laptops and Computers, Slim and Compact, Right or Left Hand Use, White",4.3,1090,16.63,Mouse
127,B07RLYJJBX,"Wireless Mouse, Vssoplor 2.4G Slim Portable Computer Mice with Nano Receiver for Notebook, PC, Laptop, Computer-Black and Sapphire Blue",4.7,4923,10.99,Mouse
128,B085D7LLT5,"Mandalorian Mouse Pad - Mando & The Child Baby Yoda - Standard Size (10"" x 8.5"") - Non Slip",4.8,512,9.95,Mouse
129,B07YQYBGKR,"OMOTON Mouse for iPad and Phone (iPadOS 13 / iOS 13 and Above), Ultra-Thin Wireless Mouse Compatible with Computer, Laptop, PC, Notebook, and Mac Series, Silver",4.4,2519,10.99,Mouse
130,B084ZCSB2T,"Wireless Keyboard and Mouse, Jelly Comb 2.4G USB Keyboard Mouse Combo Slim Ergonomic Quiet Energy-Saving Keyboard Mouse Set for Windows, Computer, Desktop, PC, Notebook, Laptop-KS27-2-Black and Blue",4.5,708,21.99,Mouse
131,B07WNNMVTB,"Mouse Pad with Design, ITNRSIIET Small Custom Mouse Mat for Women and Girls, Enhanced Thickness, Dual Stitched Edges, Ultra Soft, Cute Round Mousepad for Computer Office Gaming Laptop Mac, Elephant",4.8,1190,4.98,Mouse
132,B07QLQH21X,"NPET MP02-SP RGB Gaming Mouse Pad, Soft Oversized Glowing Extended LED Mousepad, Touch Control, Anti-Slip Rubber Base Computer Keyboard Mouse Mat, 31.5 x 12 Inch",4.7,1991,19.99,Mouse
137,B07Y7XYXCG,"RGB Gaming Mouse Pad Mat - 340×245×3mm Hcman Led Mousepad with Non-Slip Rubber Base, Soft Computer Keyboard Mouse Pad for MacBook, PC, Laptop, Desk",4.7,1165,13.99,Mouse
138,B082QSJY99,"Bluetooth Mouse, Jelly Comb 2.4G USB Wireless Mouse Dual Mode Wireless Computer Mice Support 2 Devices for Mac OS/iOS/Windows/Android Laptop, Computer, Tablet, PC, Smart Phone-MS039-Black",4.5,277,9.99,Mouse
139,B08DKT9WPT,"Bluetooth Ergonomic Mouse, Vssoplor Wireless Vertical Mouse 1000 / 1600 / 2400 DPI, Control up to to 3 Devices Mice 5 Buttons for Laptop, PC, Mac OS, MacBook, iPad Pro - Black",4.9,32,19.99,Mouse
140,B073319ZJF,"Rii Wireless Mouse 1000 DPI for PC, Laptop, Windows,Office Included Wireless USB dongle (Black)",4.3,4133,13.06,Mouse
141,B08FZ3SHZH,"Gaming Mouse Pad,Upgrade Durable 31.5""x15.7""x0.12"" Larger Extended Gaming Mouse Pad with Stitched Edges,Waterproof Non-Slip Base Long XXL Large Gaming Mouse Pad for Home Office Gaming Work, Black",4.7,204,13.98,Mouse
142,B087Q719JY,"LeadsaiL Computer Wireless Mouse, 2.4G Wireless Ergonomic Portable Mobile Mouse, Cordless Mouse with USB Receiver, 3 Adjustable DPI Levels for Notebook, PC, Laptop, Computer, MacBook (Red)",4.5,278,10.99,Mouse
143,B084JL59XV,"J-Tech Digital Ergonomic Mouse with Wireless Connection, Removable Palm Rest, Thumb Buttons, Rechargeable Battery, 800, 1200, 1800, 3200 Adjustable DPI; Compatible with Windows and MAC OS [V638]",4.5,152,28.99,Mouse
144,B07YB119V7,"Type C Wireless Mouse, Jelly Comb Ergonomic Dual Mode 2.4GHz Wireless Mouse with USB and Type C Receiver for PC, Laptop, Computer, MacBook and All Type C Devices",4.6,405,14.99,Mouse
147,B089PWBLJ2,"PICTEK Ergonomic Wired Gaming Mouse, 8 Programmable Buttons , 5 Levels Adjustable DPI up to 8000, Wired Computer Gaming Mice with 7 RGB Backlight Modes for PC, Laptop, MacBook",4.7,637,20.99,Mouse
148,B08C7VZDZ7,"JITOPKEY Wireless Mouse, 2.4Ghz Comfortable Click Mouse with USB Receiver, High Precise Tracking Cordless Portable Computer Mouse for Laptop, Chromebook, MacBook, Notebook, PC (Blue)",4.5,51,12.99,Mouse
149,B073B12MS6,"Wireless Vertical Mouse, Jelly Comb Wireless Mouse 2.4G High Precision Ergonomic Optical Mice 【 for Small Hands 】 (Black)",4.5,5078,15.99,Mouse
150,B08DY8R4LL,"RGB Gaming Mouse Pad Large, RGB Mouse Pad with 14 Lighting Mode, Large Mouse Pad with No-Slip Rubber Base and Memory Function, Large Gaming Mouse Pad, Extended Mouse Pad - 31.5x11.8x0.15 in",4.8,131,24.99,Mouse
151,B088TCN4ZM,Kensington Ergonomic Vertical Wireless Mouse (K75575WW),4.5,2247,24.99,Mouse
